Adobe After Effects 8.0 Keyframe Data

	Units Per Second	30
	Source Width	100
	Source Height	100
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Effects	Slider Control #3	Slider #2
	Frame		
	497	0.915696	
	498	0.993067	
	499	0.901773	
	500	0.893071	
	501	1.40277	
	502	0.908192	
	503	1.11503	
	504	0.928316	
	505	1.01722	
	506	1.18618	
	507	1.22575	
	508	1.16729	
	509	1.54093	
	510	1.42314	
	511	1.39791	
	512	1.58443	
	513	1.34356	
	514	1.38343	
	515	1.36581	
	516	1.67202	
	517	1.24751	
	518	1.06064	
	519	1.19996	
	520	2.02704	
	521	1.42177	
	522	1.46617	
	523	1.47373	
	524	2.16106	
	525	1.47095	
	526	1.40348	
	527	1.42491	
	528	2.08793	
	529	1.64905	
	530	2.12418	
	531	1.29509	
	532	1.71013	
	533	1.45089	
	534	1.62982	
	535	1.1976	
	536	1.28088	
	537	1.03374	
	538	1.04743	
	539	1.01219	
	540	1.12107	
	541	1.17863	
	542	1.04205	
	543	1.04481	
	544	1.29939	
	545	1.41947	
	546	1.1753	
	547	1.11578	
	548	1.05149	
	549	1.2666	
	550	1.05752	
	551	1.0529	
	552	0.907831	
	553	1.04542	
	554	0.918964	
	555	1.02203	
	556	0.877252	
	557	1.2779	
	558	0.788982	
	559	1.23386	
	560	1.00274	
	561	1.36139	
	562	1.28355	
	563	1.05747	
	564	1.40159	
	565	0.923584	
	566	1.16504	
	567	0.79657	
	568	1.06041	
	569	0.875849	
	570	1.01065	
	571	1.23021	
	572	0.73338	
	573	0.873851	
	574	0.787022	
	575	1.46162	
	576	1.17433	
	577	0.979814	
	578	1.01448	
	579	1.09133	
	580	1.67689	
	581	1.00499	
	582	1.09865	
	583	1.07219	
	584	0.945481	
	585	1.34874	
	586	0.915023	
	587	1.60211	
	588	1.12444	
	589	2.07701	
	590	1.54799	
	591	1.37063	
	592	1.25263	
	593	1.68775	
	594	2.00381	
	595	1.34011	
	596	1.11542	
	597	1.29354	
	598	1.71469	
	599	1.10329	
	600	1.72025	
	601	1.38365	
	602	1.42148	
	603	1.39518	
	604	1.11351	
	605	1.53134	
	606	0.91579	
	607	2.00092	
	608	1.521	
	609	1.38223	
	610	1.55441	
	611	1.54157	
	612	1.79896	
	613	1.15462	
	614	1.40153	
	615	1.20025	
	616	1.99798	
	617	1.7026	
	618	2.06326	
	619	1.18862	
	620	1.80025	
	621	1.51317	
	622	1.67873	
	623	1.63888	
	624	1.81916	
	625	1.81299	
	626	1.93529	
	627	1.64208	
	628	2.30927	
	629	1.91865	
	630	1.83188	
	631	1.45951	
	632	1.90628	
	633	1.64547	
	634	1.95137	
	635	1.68573	
	636	1.65702	
	637	2.54335	
	638	1.80581	
	639	1.80959	
	640	1.40569	
	641	2.03978	
	642	1.62144	
	643	2.22353	
